2025-06-13 06:30:13 | ERROR    | src.trading.executor:update_positions:448 | 更新头寸失败: dictionary changed size during iteration
2025-06-13 06:30:43 | ERROR    | src.trading.executor:update_positions:448 | 更新头寸失败: dictionary changed size during iteration
2025-06-13 06:31:37 | ERROR    | src.trading.executor:update_positions:448 | 更新头寸失败: dictionary changed size during iteration
2025-06-13 06:32:21 | ERROR    | src.trading.executor:update_positions:448 | 更新头寸失败: dictionary changed size during iteration
2025-06-13 06:55:10 | ERROR    | src.trading.executor:update_positions:448 | 更新头寸失败: dictionary changed size during iteration
2025-06-13 09:07:44 | ERROR    | src.data.market_data:_get_option_snapshot:574 | 获取期权SPY250613P00600000快照失败: 502 Server Error: Bad Gateway for url: https://data.alpaca.markets/v1beta1/options/snapshots?symbols=SPY250613P00600000&feed=indicative
2025-06-13 10:42:09 | ERROR    | src.data.market_data:_get_option_snapshot:574 | 获取期权SPY250613P00600000快照失败: HTTPSConnectionPool(host='data.alpaca.markets', port=443): Max retries exceeded with url: /v1beta1/options/snapshots?symbols=SPY250613P00600000&feed=indicative (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1245c4f10>: Failed to establish a new connection: [Errno 60] Operation timed out'))
2025-06-13 10:43:15 | ERROR    | src.data.market_data:_get_option_snapshot:574 | 获取期权SPY250613P00600000快照失败: HTTPSConnectionPool(host='data.alpaca.markets', port=443): Max retries exceeded with url: /v1beta1/options/snapshots?symbols=SPY250613P00600000&feed=indicative (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x124314a60>: Failed to establish a new connection: [Errno 60] Operation timed out'))
2025-06-13 10:44:17 | ERROR    | src.data.market_data:_get_option_snapshot:574 | 获取期权SPY250613P00600000快照失败: HTTPSConnectionPool(host='data.alpaca.markets', port=443): Max retries exceeded with url: /v1beta1/options/snapshots?symbols=SPY250613P00600000&feed=indicative (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x124120460>: Failed to establish a new connection: [Errno 60] Operation timed out'))
2025-06-13 22:35:19 | ERROR    | src.trading.executor:_get_option_price:384 | 获取期权价格失败: 'Mock' object is not subscriptable
2025-06-13 22:39:11 | ERROR    | src.trading.executor:_get_option_price:384 | 获取期权价格失败: 'Mock' object is not subscriptable
2025-06-13 22:39:39 | ERROR    | src.trading.executor:_get_option_price:384 | 获取期权价格失败: 'Mock' object is not subscriptable
2025-06-13 22:40:13 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'Mock' object is not subscriptable
2025-06-13 22:40:13 | ERROR    | src.trading.executor:_get_option_price:384 | 获取期权价格失败: 'Mock' object is not subscriptable
2025-06-13 22:40:15 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'Mock' object is not subscriptable
2025-06-13 22:40:47 | ERROR    | src.trading.executor:_get_option_price:384 | 获取期权价格失败: 'Mock' object is not subscriptable
2025-06-13 22:41:22 | ERROR    | src.trading.executor:_get_option_price:384 | 获取期权价格失败: 'Mock' object is not subscriptable
2025-06-13 22:41:47 | ERROR    | src.trading.executor:_get_option_price:384 | 获取期权价格失败: 'Mock' object is not subscriptable
2025-06-13 22:42:12 | ERROR    | src.trading.executor:_get_option_price:384 | 获取期权价格失败: 'Mock' object is not subscriptable
2025-06-13 22:42:36 | ERROR    | src.trading.executor:_get_option_price:384 | 获取期权价格失败: 'Mock' object is not subscriptable
