2025-06-30 11:04:05 | ERROR    | src.trading.executor:update_account_info:131 | 更新账户信息失败: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2025-06-30 11:04:05 | ERROR    | src.data.market_data:get_current_bars:91 | 获取K线数据失败: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2025-06-30 11:19:28 | ERROR    | src.trading.executor:update_account_info:131 | 更新账户信息失败: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2025-06-30 11:19:28 | ERROR    | src.data.market_data:get_current_bars:91 | 获取K线数据失败: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2025-06-30 11:37:12 | ERROR    | src.trading.executor:update_account_info:131 | 更新账户信息失败: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2025-06-30 11:37:12 | ERROR    | src.data.market_data:get_current_bars:91 | 获取K线数据失败: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2025-06-30 11:52:38 | ERROR    | src.trading.executor:update_account_info:131 | 更新账户信息失败: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2025-06-30 11:52:39 | ERROR    | src.data.market_data:get_current_bars:91 | 获取K线数据失败: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2025-06-30 12:05:04 | ERROR    | src.trading.executor:update_account_info:131 | 更新账户信息失败: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2025-06-30 12:05:05 | ERROR    | src.data.market_data:get_current_bars:91 | 获取K线数据失败: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2025-06-30 12:21:19 | ERROR    | src.trading.executor:update_account_info:131 | 更新账户信息失败: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2025-06-30 12:21:19 | ERROR    | src.data.market_data:get_current_bars:91 | 获取K线数据失败: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2025-06-30 12:36:32 | ERROR    | src.trading.executor:update_account_info:131 | 更新账户信息失败: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2025-06-30 12:36:32 | ERROR    | src.data.market_data:get_current_bars:91 | 获取K线数据失败: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2025-07-01 06:35:57 | ERROR    | src.trading.executor:update_account_info:131 | 更新账户信息失败: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2025-07-01 06:35:57 | ERROR    | src.data.market_data:get_current_bars:91 | 获取K线数据失败: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
