2025-07-23 08:00:23 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:00:26 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:00:30 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:00:33 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:00:37 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:00:40 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:00:44 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:00:47 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:00:51 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:00:55 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:00:58 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:01:02 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:01:05 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:01:09 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:01:12 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:01:16 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:01:19 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:01:23 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:01:27 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:01:30 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:01:34 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:01:37 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:01:40 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:01:44 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:01:47 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:01:51 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:01:54 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:01:58 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:02:02 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:02:05 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:02:09 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:02:12 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:02:16 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:02:19 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:02:23 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:02:26 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:04:08 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:04:11 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:04:15 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:04:18 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:04:22 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:04:25 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:04:29 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:04:32 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:04:36 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:04:40 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:04:43 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:04:47 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:04:50 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:04:54 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:04:57 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:05:01 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:05:04 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:05:08 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:05:11 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:05:15 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:05:18 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:05:22 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:05:25 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:05:29 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:05:32 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:05:36 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:05:39 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:05:43 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:05:47 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:05:50 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:05:54 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:05:57 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:06:01 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:06:04 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:06:08 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:06:11 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:06:15 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:06:18 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:06:22 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:06:25 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:06:29 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:06:33 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:06:36 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:06:40 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:06:43 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:06:47 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:06:51 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:06:54 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:06:58 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:07:01 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:07:05 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:07:09 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:07:12 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:07:16 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:07:19 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:07:23 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:07:26 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:07:30 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:07:33 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:07:37 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:07:40 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:07:44 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:07:48 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:07:52 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:07:56 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:07:59 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:08:03 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:08:06 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:08:10 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:08:13 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:08:17 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:08:20 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:08:24 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:08:28 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:08:31 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:08:35 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:08:38 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:08:42 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:08:46 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:08:49 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:08:53 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:08:56 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:09:00 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:09:03 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:09:07 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:09:10 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:09:14 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:09:17 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:09:21 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:09:24 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:10:01 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:10:04 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
2025-07-23 08:10:08 | ERROR    | src.trading.executor:find_best_option:192 | 查找最佳期权失败: 'strike'
