2025-07-23 09:50:06 | ERROR    | src.trading.executor:execute_trade:320 | 提交主订单失败: 'TradingClient' object has no attribute 'get_order_fills'
2025-07-23 09:50:11 | ERROR    | src.trading.executor:execute_trade:320 | 提交主订单失败: 'TradingClient' object has no attribute 'get_order_fills'
2025-07-23 09:50:16 | ERROR    | src.trading.executor:execute_trade:320 | 提交主订单失败: 'TradingClient' object has no attribute 'get_order_fills'
2025-07-23 09:50:21 | ERROR    | src.trading.executor:execute_trade:320 | 提交主订单失败: 'TradingClient' object has no attribute 'get_order_fills'
2025-07-23 09:50:26 | ERROR    | src.trading.executor:execute_trade:320 | 提交主订单失败: 'TradingClient' object has no attribute 'get_order_fills'
2025-07-23 09:50:30 | ERROR    | src.trading.executor:execute_trade:320 | 提交主订单失败: 'TradingClient' object has no attribute 'get_order_fills'
2025-07-23 09:50:36 | ERROR    | src.trading.executor:execute_trade:320 | 提交主订单失败: 'TradingClient' object has no attribute 'get_order_fills'
2025-07-23 09:50:41 | ERROR    | src.trading.executor:execute_trade:320 | 提交主订单失败: 'TradingClient' object has no attribute 'get_order_fills'
2025-07-23 09:50:51 | ERROR    | src.trading.executor:execute_trade:320 | 提交主订单失败: 'TradingClient' object has no attribute 'get_order_fills'
2025-07-23 09:51:01 | ERROR    | src.trading.executor:execute_trade:320 | 提交主订单失败: 'TradingClient' object has no attribute 'get_order_fills'
2025-07-23 09:51:11 | ERROR    | src.trading.executor:execute_trade:320 | 提交主订单失败: 'TradingClient' object has no attribute 'get_order_fills'
2025-07-23 09:51:20 | ERROR    | src.trading.executor:execute_trade:320 | 提交主订单失败: 'TradingClient' object has no attribute 'get_order_fills'
2025-07-23 09:51:30 | ERROR    | src.trading.executor:execute_trade:320 | 提交主订单失败: 'TradingClient' object has no attribute 'get_order_fills'
2025-07-23 09:51:35 | ERROR    | src.trading.executor:execute_trade:320 | 提交主订单失败: 'TradingClient' object has no attribute 'get_order_fills'
2025-07-23 09:51:40 | ERROR    | src.trading.executor:execute_trade:320 | 提交主订单失败: 'TradingClient' object has no attribute 'get_order_fills'
2025-07-23 09:51:45 | ERROR    | src.trading.executor:execute_trade:320 | 提交主订单失败: 'TradingClient' object has no attribute 'get_order_fills'
2025-07-23 09:51:50 | ERROR    | src.trading.executor:execute_trade:320 | 提交主订单失败: 'TradingClient' object has no attribute 'get_order_fills'
2025-07-23 09:51:55 | ERROR    | src.trading.executor:execute_trade:320 | 提交主订单失败: 'TradingClient' object has no attribute 'get_order_fills'
2025-07-23 09:52:00 | ERROR    | src.trading.executor:execute_trade:320 | 提交主订单失败: 'TradingClient' object has no attribute 'get_order_fills'
2025-07-23 09:52:05 | ERROR    | src.trading.executor:execute_trade:320 | 提交主订单失败: 'TradingClient' object has no attribute 'get_order_fills'
2025-07-23 09:52:10 | ERROR    | src.trading.executor:execute_trade:320 | 提交主订单失败: 'TradingClient' object has no attribute 'get_order_fills'
2025-07-23 09:52:20 | ERROR    | src.trading.executor:execute_trade:320 | 提交主订单失败: 'TradingClient' object has no attribute 'get_order_fills'
2025-07-23 09:52:30 | ERROR    | src.trading.executor:execute_trade:320 | 提交主订单失败: 'TradingClient' object has no attribute 'get_order_fills'
2025-07-23 09:52:35 | ERROR    | src.trading.executor:execute_trade:320 | 提交主订单失败: 'TradingClient' object has no attribute 'get_order_fills'
2025-07-23 09:52:40 | ERROR    | src.trading.executor:execute_trade:320 | 提交主订单失败: 'TradingClient' object has no attribute 'get_order_fills'
2025-07-23 09:52:44 | ERROR    | src.trading.executor:execute_trade:320 | 提交主订单失败: 'TradingClient' object has no attribute 'get_order_fills'
2025-07-23 09:52:54 | ERROR    | src.trading.executor:execute_trade:320 | 提交主订单失败: 'TradingClient' object has no attribute 'get_order_fills'
2025-07-23 09:52:59 | ERROR    | src.trading.executor:execute_trade:320 | 提交主订单失败: 'TradingClient' object has no attribute 'get_order_fills'
2025-07-23 09:53:04 | ERROR    | src.trading.executor:execute_trade:320 | 提交主订单失败: 'TradingClient' object has no attribute 'get_order_fills'
2025-07-23 09:53:09 | ERROR    | src.trading.executor:execute_trade:320 | 提交主订单失败: 'TradingClient' object has no attribute 'get_order_fills'
2025-07-23 09:53:14 | ERROR    | src.trading.executor:execute_trade:320 | 提交主订单失败: 'TradingClient' object has no attribute 'get_order_fills'
2025-07-23 09:53:19 | ERROR    | src.trading.executor:execute_trade:320 | 提交主订单失败: 'TradingClient' object has no attribute 'get_order_fills'
2025-07-23 09:53:24 | ERROR    | src.trading.executor:execute_trade:320 | 提交主订单失败: 'TradingClient' object has no attribute 'get_order_fills'
2025-07-23 09:53:35 | ERROR    | src.bot.trading_bot:stop:662 | ❌ 持仓关闭验证失败，请手动检查
2025-07-23 10:22:42 | ERROR    | src.bot.trading_bot:stop:662 | ❌ 持仓关闭验证失败，请手动检查
2025-07-23 10:46:27 | ERROR    | src.trading.executor:update_positions:489 | 更新头寸失败: dictionary changed size during iteration
