合约名称,时间,最新成交价,开仓价格,平仓价格
SPY250613P00599000,2025-06-13 09:30:05,0.56,2.315,
SPY250613P00599000,2025-06-13 09:30:05,0.56,,
SPY250613P00599000,2025-06-13 09:30:06,0.56,,
SPY250613P00599000,2025-06-13 09:30:09,0.56,,
SPY250613P00599000,2025-06-13 09:30:10,0.56,,
SPY250613P00599000,2025-06-13 09:30:13,0.56,,2.07
SPY250613P00599000,2025-06-13 09:30:13,0.56,,
SPY250613P00599000,2025-06-13 09:30:14,0.56,,
SPY250613P00599000,2025-06-13 09:30:18,0.56,,
SPY250613P00599000,2025-06-13 09:30:22,0.56,2.0140000000000002,
SPY250613P00599000,2025-06-13 09:30:23,0.56,,
SPY250613P00599000,2025-06-13 09:30:24,0.56,,
SPY250613P00599000,2025-06-13 09:30:27,0.56,,
SPY250613P00599000,2025-06-13 09:30:28,0.56,,
SPY250613P00599000,2025-06-13 09:30:31,0.56,,
SPY250613P00599000,2025-06-13 09:30:32,0.56,,
SPY250613P00599000,2025-06-13 09:30:35,0.56,,
SPY250613P00599000,2025-06-13 09:30:36,0.56,,
SPY250613P00599000,2025-06-13 09:30:39,0.56,,
SPY250613P00599000,2025-06-13 09:30:40,0.56,,
SPY250613P00599000,2025-06-13 09:30:43,0.56,,1.81
SPY250613P00599000,2025-06-13 09:30:43,0.56,,
SPY250613P00599000,2025-06-13 09:30:44,0.56,,
SPY250613P00599000,2025-06-13 09:30:48,0.56,,
SPY250613P00599000,2025-06-13 09:30:52,0.56,,
SPY250613P00600000,2025-06-13 09:30:57,0.71,2.205,
SPY250613P00599000,2025-06-13 09:30:59,0.56,,
SPY250613P00600000,2025-06-13 09:30:59,0.71,,
SPY250613P00599000,2025-06-13 09:30:59,0.56,,
SPY250613P00600000,2025-06-13 09:30:59,0.71,,
SPY250613P00599000,2025-06-13 09:31:03,0.56,,
SPY250613P00600000,2025-06-13 09:31:03,0.71,,
SPY250613P00599000,2025-06-13 09:31:04,0.56,,
SPY250613P00600000,2025-06-13 09:31:04,0.71,,
SPY250613P00599000,2025-06-13 09:31:07,0.56,,
SPY250613P00600000,2025-06-13 09:31:07,0.71,,
SPY250613P00599000,2025-06-13 09:31:08,0.56,,
SPY250613P00600000,2025-06-13 09:31:08,0.71,,
SPY250613P00599000,2025-06-13 09:31:11,0.56,,
SPY250613P00600000,2025-06-13 09:31:11,0.71,,
SPY250613P00599000,2025-06-13 09:31:12,0.56,,
SPY250613P00600000,2025-06-13 09:31:12,0.71,,
SPY250613P00599000,2025-06-13 09:31:15,0.56,,
SPY250613P00600000,2025-06-13 09:31:15,0.71,,
SPY250613P00599000,2025-06-13 09:31:16,0.56,,
SPY250613P00600000,2025-06-13 09:31:16,0.71,,
SPY250613P00599000,2025-06-13 09:31:19,0.56,,
SPY250613P00600000,2025-06-13 09:31:19,0.71,,
SPY250613P00599000,2025-06-13 09:31:21,0.56,,
